time,step,quantity,kperp,value
2.0031746597796087,140,b_perp,7.5,0.006996910799428995
2.0031746597796087,140,b_perp,8.5,0.005066804686297425
2.0031746597796087,140,b_perp,9.5,0.0033210981349279856
2.0031746597796087,140,b_perp,10.5,0.0027772051614893974
2.0031746597796087,140,b_perp,11.5,0.0016122256769931502
2.0031746597796087,140,b_perp,12.5,0.0013225355046151068
2.0031746597796087,140,b_perp,13.5,0.0008829220153699942
2.0031746597796087,140,b_perp,14.5,0.0005889182959968834
2.0031746597796087,140,b_perp,15.5,0.0004304526527049859
2.0031746597796087,140,b_perp,16.5,0.0003134241990005262
2.0031746597796087,140,b_perp,17.5,0.00023555626515087274
2.0031746597796087,140,b_perp,18.5,0.00015916711204319229
2.0031746597796087,140,b_perp,19.5,9.533723884184678e-05
2.0031746597796087,140,b_perp,20.5,6.488023501061817e-05
2.0031746597796087,140,b_perp,21.5,5.052149370087356e-05
2.0031746597796087,140,b_perp,22.5,1.48092595313585e-05
2.0031746597796087,140,b_perp,23.5,6.89539397941811e-06
2.0031746597796087,140,b_perp,24.5,3.0522874284514996e-06
2.0031746597796087,140,b_perp,25.5,1.2334649492998773e-06
2.0031746597796087,140,b_perp,26.5,3.752639011321546e-07
2.0031746597796087,140,b_perp,27.5,1.423033024030445e-07
2.0031746597796087,140,b_perp,28.5,2.9977301314850416e-08
2.0031746597796087,140,b_perp,29.5,1.5457837022278266e-08
2.0031746597796087,140,b_perp,30.5,0.0
2.0031746597796087,140,b_perp,31.5,0.0
2.0031746597796087,140,b_perp,32.5,0.0
2.0031746597796087,140,b_perp,33.5,0.0
2.0031746597796087,140,b_perp,34.5,0.0
2.0031746597796087,140,b_perp,35.5,0.0
2.0031746597796087,140,b_perp,36.5,0.0
2.0031746597796087,140,b_perp,37.5,0.0
2.0031746597796087,140,b_perp,38.5,0.0
2.0031746597796087,140,b_perp,39.5,0.0
2.0031746597796087,140,b_perp,40.5,0.0
2.0031746597796087,140,b_perp,41.5,0.0
2.0031746597796087,140,b_perp,42.5,0.0
2.0031746597796087,140,b_perp,43.5,0.0
2.0031746597796087,140,b_perp,44.5,0.0
2.0031746597796087,140,b_perp,45.5,0.0
2.0031746597796087,140,upar,0.5,7.49694568999911e-05
2.0031746597796087,140,upar,1.5,0.00032773909660854887
2.0031746597796087,140,upar,2.5,0.000501947306495811
2.0031746597796087,140,upar,3.5,0.00019809182393275247
2.0031746597796087,140,upar,4.5,0.00010255901976431218
2.0031746597796087,140,upar,5.5,6.179367145419423e-05
2.0031746597796087,140,upar,6.5,2.5175560606584272e-05
2.0031746597796087,140,upar,7.5,1.6943742193973164e-05
2.0031746597796087,140,upar,8.5,1.18277298888659e-05
2.0031746597796087,140,upar,9.5,6.759736484028225e-06
2.0031746597796087,140,upar,10.5,5.613828296082367e-06
2.0031746597796087,140,upar,11.5,3.413691948507776e-06
2.0031746597796087,140,upar,12.5,2.799223755452201e-06
2.0031746597796087,140,upar,13.5,1.7832791502332978e-06
2.0031746597796087,140,upar,14.5,1.2198899336898064e-06
2.0031746597796087,140,upar,15.5,8.091376181557172e-07
2.0031746597796087,140,upar,16.5,5.264771028412157e-07
2.0031746597796087,140,upar,17.5,3.7072938922353283e-07
2.0031746597796087,140,upar,18.5,2.3465960145407924e-07
2.0031746597796087,140,upar,19.5,1.2630676572443378e-07
2.0031746597796087,140,upar,20.5,8.79290764209478e-08
2.0031746597796087,140,upar,21.5,5.83588222022721e-08
2.0031746597796087,140,upar,22.5,1.3525669260108348e-08
2.0031746597796087,140,upar,23.5,5.236916886826533e-09
2.0031746597796087,140,upar,24.5,2.229387629355566e-09
2.0031746597796087,140,upar,25.5,7.04671005634205e-10
2.0031746597796087,140,upar,26.5,2.6346915035838935e-10
2.0031746597796087,140,upar,27.5,8.284024355509883e-11
2.0031746597796087,140,upar,28.5,1.8768243920321703e-11
2.0031746597796087,140,upar,29.5,9.898403374256345e-12
2.0031746597796087,140,upar,30.5,0.0
2.0031746597796087,140,upar,31.5,0.0
2.0031746597796087,140,upar,32.5,0.0
2.0031746597796087,140,upar,33.5,0.0
2.0031746597796087,140,upar,34.5,0.0
2.0031746597796087,140,upar,35.5,0.0
2.0031746597796087,140,upar,36.5,0.0
2.0031746597796087,140,upar,37.5,0.0
2.0031746597796087,140,upar,38.5,0.0
2.0031746597796087,140,upar,39.5,0.0
2.0031746597796087,140,upar,40.5,0.0
2.0031746597796087,140,upar,41.5,0.0
2.0031746597796087,140,upar,42.5,0.0
2.0031746597796087,140,upar,43.5,0.0
2.0031746597796087,140,upar,44.5,0.0
2.0031746597796087,140,upar,45.5,0.0
2.0031746597796087,140,dbpar,0.5,0.0003160805851567512
2.0031746597796087,140,dbpar,1.5,0.0005652263095068422
2.0031746597796087,140,dbpar,2.5,0.000624850177258799
2.0031746597796087,140,dbpar,3.5,0.0002021436337398641
2.0031746597796087,140,dbpar,4.5,0.00010596234617805768
2.0031746597796087,140,dbpar,5.5,5.9960831128534704e-05
2.0031746597796087,140,dbpar,6.5,2.4322179932735082e-05
2.0031746597796087,140,dbpar,7.5,2.0337146806794774e-05
2.0031746597796087,140,dbpar,8.5,1.1926659310497986e-05
2.0031746597796087,140,dbpar,9.5,7.357249744718868e-06
2.0031746597796087,140,dbpar,10.5,5.434666337731547e-06
2.0031746597796087,140,dbpar,11.5,3.1275978339708548e-06
2.0031746597796087,140,dbpar,12.5,2.86285248390004e-06
2.0031746597796087,140,dbpar,13.5,1.8854136923863473e-06
2.0031746597796087,140,dbpar,14.5,1.1579248996767304e-06
2.0031746597796087,140,dbpar,15.5,7.934494565680192e-07
2.0031746597796087,140,dbpar,16.5,5.24824561211909e-07
2.0031746597796087,140,dbpar,17.5,3.685958872299642e-07
