time,step,quantity,kprl,value
1.0050000000000008,67,b_perp,20.0,1.0098433906245861e-13
1.0050000000000008,67,b_perp,21.0,2.6649622408799785e-14
1.0050000000000008,67,b_perp,22.0,0.0
1.0050000000000008,67,b_perp,23.0,0.0
1.0050000000000008,67,b_perp,24.0,0.0
1.0050000000000008,67,b_perp,25.0,0.0
1.0050000000000008,67,b_perp,25.999999999999996,0.0
1.0050000000000008,67,b_perp,27.000000000000004,0.0
1.0050000000000008,67,b_perp,28.000000000000004,0.0
1.0050000000000008,67,b_perp,29.000000000000004,0.0
1.0050000000000008,67,b_perp,30.0,0.0
1.0050000000000008,67,b_perp,31.0,0.0
1.0050000000000008,67,b_perp,32.0,0.0
1.0050000000000008,67,upar,0.0,0.00012950409343137986
1.0050000000000008,67,upar,1.0,0.00024881427506293384
1.0050000000000008,67,upar,2.0,0.00025062947053283854
1.0050000000000008,67,upar,3.0,2.1399402544300468e-05
1.0050000000000008,67,upar,4.0,3.2097418703630917e-06
1.0050000000000008,67,upar,5.0,3.1269830671152995e-07
1.0050000000000008,67,upar,6.0,6.253825371074937e-08
1.0050000000000008,67,upar,7.000000000000001,1.1238110558301789e-08
1.0050000000000008,67,upar,8.0,2.1677643385150725e-09
1.0050000000000008,67,upar,9.0,5.07046122457251e-10
1.0050000000000008,67,upar,10.0,1.1499239876792267e-10
1.0050000000000008,67,upar,11.0,3.027092883653086e-11
1.0050000000000008,67,upar,12.0,7.41502821083033e-12
1.0050000000000008,67,upar,12.999999999999998,2.086768891584635e-12
1.0050000000000008,67,upar,14.000000000000002,5.545687859293951e-13
1.0050000000000008,67,upar,15.0,1.5254398216670832e-13
1.0050000000000008,67,upar,16.0,4.3324519739142504e-14
1.0050000000000008,67,upar,17.0,1.1877014078443608e-14
1.0050000000000008,67,upar,18.0,3.497555888243334e-15
1.0050000000000008,67,upar,19.0,9.656878415051783e-16
1.0050000000000008,67,upar,20.0,3.0492022755434935e-16
1.0050000000000008,67,upar,21.0,9.973418636742751e-17
1.0050000000000008,67,upar,22.0,0.0
1.0050000000000008,67,upar,23.0,0.0
1.0050000000000008,67,upar,24.0,0.0
1.0050000000000008,67,upar,25.0,0.0
1.0050000000000008,67,upar,25.999999999999996,0.0
1.0050000000000008,67,upar,27.000000000000004,0.0
1.0050000000000008,67,upar,28.000000000000004,0.0
1.0050000000000008,67,upar,29.000000000000004,0.0
1.0050000000000008,67,upar,30.0,0.0
1.0050000000000008,67,upar,31.0,0.0
1.0050000000000008,67,upar,32.0,0.0
1.0050000000000008,67,dbpar,0.0,0.0001779461406498134
1.0050000000000008,67,dbpar,1.0,0.0004190788623235511
1.0050000000000008,67,dbpar,2.0,0.00022298176758357827
1.0050000000000008,67,dbpar,3.0,1.4865874221168942e-05
1.0050000000000008,67,dbpar,4.0,2.4025884661671505e-06
1.0050000000000008,67,dbpar,5.0,3.0559764283952083e-07
1.0050000000000008,67,dbpar,6.0,5.7072619965967674e-08
